"studyid","rltv_mo","errorcode","errormessage","process","premiseid","studypoint","updated_dt","process_run_date","job_run_id"
FPLC-RS44NET9,202508,DIFFBILLCOMP,Interval cut (1873.27 kwh) is outside the 10.0% threshold when compared to billed usage (1565.0 kwh).,Interval Data Quality,70281751,"56916.0",2025-09-02 14:37:08.024,20250902,ALR-scheduled__2025-09-01T13:30:00+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (1873.27 kwh) is outside the 10.0% threshold when compared to billed usage (1565.0 kwh).,Interval Data Quality,70281751,"265.0",2025-09-02 14:37:08.024,20250902,ALR-scheduled__2025-09-01T13:30:00+00:00
FPLC-RS44NET2,202508,DIFFBILLCOMP,Interval cut (2149.24 kwh) is outside the 10.0% threshold when compared to billed usage (1565.0 kwh).,Interval Data Quality,70281751,"56916.0",2025-09-02 14:37:08.024,20250902,ALR-scheduled__2025-09-01T13:30:00+00:00
FPLC-RS44NET4,202508,DIFFBILLCOMP,Interval cut (275.97 kwh) is outside the 10.0% threshold when compared to billed usage (1565.0 kwh).,Interval Data Quality,70281751,"56916.0",2025-09-02 14:37:08.024,20250902,ALR-scheduled__2025-09-01T13:30:00+00:00
FPLC-RSEV,202508,PREMISE,"Premise data change: channels changed from [1] to [1.0, 1000.0].",Master Data,70273628,"592.0",2025-09-02 14:37:08.024,20250902,ALR-scheduled__2025-09-01T13:30:00+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (3352.55 kwh) is outside the 10.0% threshold when compared to billed usage (2531.0 kwh).,Interval Data Quality,70530764,"243.0",2025-09-03 13:38:29.910,20250903,ALR-scheduled__2025-09-02T13:30:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2286.0 kwh) is outside the 10.0% threshold when compared to billed usage (1648.0 kwh).,Interval Data Quality,70013123,"233.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1509.0 kwh) is outside the 10.0% threshold when compared to billed usage (847.0 kwh).,Interval Data Quality,70041695,"319.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1252.83 kwh) is outside the 10.0% threshold when compared to billed usage (802.0 kwh).,Interval Data Quality,70398499,"560.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1286.0 kwh) is outside the 10.0% threshold when compared to billed usage (896.0 kwh).,Interval Data Quality,70405603,"411.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RS44NET9,202512,DIFFBILLCOMP,Interval cut (1223.18 kwh) is outside the 10.0% threshold when compared to billed usage (670.0 kwh).,Interval Data Quality,70550834,"74724.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1223.18 kwh) is outside the 10.0% threshold when compared to billed usage (670.0 kwh).,Interval Data Quality,70550834,"321.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2006.28 kwh) is outside the 10.0% threshold when compared to billed usage (1401.0 kwh).,Interval Data Quality,70552450,"323.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1486.52 kwh) is outside the 10.0% threshold when compared to billed usage (1098.0 kwh).,Interval Data Quality,70591797,"322.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1389.12 kwh) is outside the 10.0% threshold when compared to billed usage (1036.0 kwh).,Interval Data Quality,70648797,"433.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1542.42 kwh) is outside the 10.0% threshold when compared to billed usage (522.0 kwh).,Interval Data Quality,70663090,"2491.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RS44NET2,202512,DIFFBILLCOMP,Interval cut (1692.21 kwh) is outside the 10.0% threshold when compared to billed usage (670.0 kwh).,Interval Data Quality,70550834,"74724.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RS44NET4,202512,DIFFBILLCOMP,Interval cut (469.02 kwh) is outside the 10.0% threshold when compared to billed usage (670.0 kwh).,Interval Data Quality,70550834,"74724.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RS44NET9,202512,INFORMATIONAL,Master data change: customer changed from 'LAVADA BURROUGHS' to 'LAVADA MCINTYRE'.,Master Data,70550834,"74724.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,INFORMATIONAL,Master data change: customer changed from 'LAVADA BURROUGHS' to 'LAVADA MCINTYRE'.,Master Data,70550834,"321.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RS44NET2,202512,INFORMATIONAL,Master data change: customer changed from 'LAVADA BURROUGHS' to 'LAVADA MCINTYRE'.,Master Data,70550834,"74724.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RS44NET4,202512,INFORMATIONAL,Master data change: customer changed from 'LAVADA BURROUGHS' to 'LAVADA MCINTYRE'.,Master Data,70550834,"74724.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,PREMISE,"Premise data change: channels changed from [1, 1000] to [1.0].",Master Data,70663090,"2491.0",2025-12-25 03:36:40.456,20251225,ALR-scheduled__2025-12-24T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1911.0 kwh) is outside the 10.0% threshold when compared to billed usage (1048.0 kwh).,Interval Data Quality,70065960,"250.0",2025-12-26 03:35:52.654,20251226,ALR-scheduled__2025-12-25T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (594.0 kwh) is outside the 10.0% threshold when compared to billed usage (443.0 kwh).,Interval Data Quality,70435720,"573.0",2025-12-26 03:35:52.654,20251226,ALR-scheduled__2025-12-25T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1648.0 kwh) is outside the 10.0% threshold when compared to billed usage (1018.0 kwh).,Interval Data Quality,70462664,"559.0",2025-12-26 03:35:52.654,20251226,ALR-scheduled__2025-12-25T08:00:00+00:00
FPLC-RSEV,202508,PREMISE,"Premise data change: channels changed from [1] to [1.0, 1000.0].",Master Data,70372345,"361.0",2025-09-03 13:38:29.910,20250903,ALR-scheduled__2025-09-02T13:30:00+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (3140.0 kwh) is outside the 10.0% threshold when compared to billed usage (2447.0 kwh).,Interval Data Quality,70041695,"319.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (4152.0 kwh) is outside the 10.0% threshold when compared to billed usage (3383.0 kwh).,Interval Data Quality,70287401,"270.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (3397.03 kwh) is outside the 10.0% threshold when compared to billed usage (2953.0 kwh).,Interval Data Quality,70398499,"560.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (1910.0 kwh) is outside the 10.0% threshold when compared to billed usage (1421.0 kwh).,Interval Data Quality,70405603,"411.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (1879.0 kwh) is outside the 10.0% threshold when compared to billed usage (1627.0 kwh).,Interval Data Quality,70435720,"573.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RS44NET9,202508,DIFFBILLCOMP,Interval cut (1756.8 kwh) is outside the 10.0% threshold when compared to billed usage (800.0 kwh).,Interval Data Quality,70548312,"73292.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (1756.8 kwh) is outside the 10.0% threshold when compared to billed usage (800.0 kwh).,Interval Data Quality,70548312,"573.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RS44NET9,202508,DIFFBILLCOMP,Interval cut (1525.48 kwh) is outside the 10.0% threshold when compared to billed usage (864.0 kwh).,Interval Data Quality,70550834,"74724.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (1525.48 kwh) is outside the 10.0% threshold when compared to billed usage (864.0 kwh).,Interval Data Quality,70550834,"321.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (2176.44 kwh) is outside the 10.0% threshold when compared to billed usage (1613.0 kwh).,Interval Data Quality,70591797,"322.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RSEV,202508,DIFFBILLCOMP,Interval cut (1848.41 kwh) is outside the 10.0% threshold when compared to billed usage (1198.0 kwh).,Interval Data Quality,70648797,"433.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RS44NET2,202508,DIFFBILLCOMP,Interval cut (2834.34 kwh) is outside the 10.0% threshold when compared to billed usage (800.0 kwh).,Interval Data Quality,70548312,"73292.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RS44NET4,202508,DIFFBILLCOMP,Interval cut (1077.54 kwh) is outside the 10.0% threshold when compared to billed usage (800.0 kwh).,Interval Data Quality,70548312,"73292.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RS44NET2,202508,DIFFBILLCOMP,Interval cut (2211.14 kwh) is outside the 10.0% threshold when compared to billed usage (864.0 kwh).,Interval Data Quality,70550834,"74724.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RS44NET4,202508,DIFFBILLCOMP,Interval cut (685.66 kwh) is outside the 10.0% threshold when compared to billed usage (864.0 kwh).,Interval Data Quality,70550834,"74724.0",2025-09-03 19:00:31.335,20250903,ALR-manual__2025-09-03T19:27:03+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1612.0 kwh) is outside the 10.0% threshold when compared to billed usage (1120.0 kwh).,Interval Data Quality,70006394,"224.0",2025-12-27 03:36:32.374,20251227,ALR-scheduled__2025-12-26T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1321.0 kwh) is outside the 10.0% threshold when compared to billed usage (1040.0 kwh).,Interval Data Quality,70053071,"422.0",2025-12-27 03:36:32.374,20251227,ALR-scheduled__2025-12-26T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2369.0 kwh) is outside the 10.0% threshold when compared to billed usage (1545.0 kwh).,Interval Data Quality,70148787,"412.0",2025-12-27 03:36:32.374,20251227,ALR-scheduled__2025-12-26T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1298.0 kwh) is outside the 10.0% threshold when compared to billed usage (1074.0 kwh).,Interval Data Quality,70154475,"251.0",2025-12-27 03:36:32.374,20251227,ALR-scheduled__2025-12-26T08:00:00+00:00
